date,state,district,pincode,age_0_5,age_5_17,age_18_greater
23-09-2025,Telangana,Jayashankar Bhupalpally,505503,5,1,0
22-09-2025,Telangana,Jayashankar Bhupalpally,505503,3,0,0
22-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
22-09-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
25-09-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
25-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
24-09-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
27-09-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
26-10-2025,Telangana,Jayashankar Bhupalpally,506168,0,1,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
15-10-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
16-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
17-10-2025,Telangana,Jayashankar Bhupalpally,505503,1,3,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
19-10-2025,Telangana,Jayashankar Bhupalpally,505504,0,1,0
19-10-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
21-10-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
24-10-2025,Telangana,Jayashankar Bhupalpally,506345,2,1,0
25-10-2025,Telangana,Jayashankar Bhupalpally,506348,5,0,0
25-10-2025,Telangana,Jayashankar Bhupalpally,506356,4,0,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506366,3,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,506164,5,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
29-10-2025,Telangana,Jayashankar Bhupalpally,505504,0,1,0
29-10-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
31-10-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,505503,3,2,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
10-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
09-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
09-11-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
05-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
08-11-2025,Telangana,Jayashankar Bhupalpally,505504,2,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506366,1,1,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506348,0,1,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
12-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
12-11-2025,Telangana,Jayashankar Bhupalpally,506169,3,0,0
11-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506168,4,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
14-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
14-11-2025,Telangana,Jayashankar Bhupalpally,506168,2,2,0
15-11-2025,Telangana,Jayashankar Bhupalpally,505504,0,0,3
16-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
16-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
19-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,1,0
19-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
15-12-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
15-12-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
21-12-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
22-12-2025,Telangana,Jayashankar Bhupalpally,506169,3,0,0
23-12-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
26-12-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
28-12-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
28-12-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
27-12-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
27-12-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
31-12-2025,Telangana,Jayashankar Bhupalpally,506345,2,1,0
09-06-2025,Telangana,Jayashankar Bhupalpally,506169,0,1,0
11-06-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
11-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
10-06-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
12-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
12-06-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
13-06-2025,Telangana,Jayashankar Bhupalpally,505503,8,3,0
13-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,1,0
17-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,2,0
16-06-2025,Telangana,Jayashankar Bhupalpally,506168,0,2,0
16-06-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
18-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
19-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
